CRS Subject,CRS Course Number,Academic Year,Academic Term,# of Sections,Number Enrolled,Enrollment Ratio,Ratio Pred. from Lin. Reg. Using All Data,Ratio Pred. from Lin. Reg. Using 3 Rcnt. Yrs.,Ratio Pred. from Avg. Using All Data,Ratio Pred. from Avg. Using 3 Rcnt. Yrs.,Ratio Pred. from Avg. Using Most Rcnt. Yr.
ACCT,2201,2012-2013,Fall,10,146,0.031,0,0,0,0,0
,,,Spring,4,76,0.018,0,0,0,0,0
,,2013-2014,Fall,11,171,0.039,-1,-1,-1,-1,-1
,,,Spring,5,104,0.026,-1,-1,-1,-1,-1
,2202,2012-2013,Fall,3,46,0.01,0,0,0,0,0
,,,Spring,5,75,0.018,0,0,0,0,0
,,2013-2014,Fall,2,35,0.008,-1,-1,-1,-1,-1
,,,Spring,3,102,0.025,-1,-1,-1,-1,-1
,2500,2020-2021,Spring,1,9,0.003,0,0,0,0,0
,,2021-2022,Spring,1,10,0.003,0,0,0,0,0
,,2022-2023,Spring,1,15,0.005,0,0,0,0,0
,,2023-2024,Spring,1,18,0.006,0.006,0.006,0.004,0.004,0.005
,2550,2020-2021,Spring,1,14,0.004,0,0,0,0,0
,,2021-2022,Spring,1,15,0.005,0,0,0,0,0
,,2022-2023,Spring,1,13,0.004,0,0,0,0,0
,,2023-2024,Spring,1,4,0.001,0.004,0.004,0.004,0.004,0.004
,3301,2012-2013,Fall,1,36,0.008,0,0,0,0,0
,,2013-2014,Fall,1,27,0.006,0,0,0,0,0
,,2014-2015,Fall,1,37,0.009,0,0,0,0,0
,,2015-2016,Fall,1,24,0.006,0,0,0,0,0
,,2016-2017,Fall,1,34,0.008,0,0,0,0,0
,,2017-2018,Fall,1,32,0.008,0,0,0,0,0
,,2018-2019,Fall,1,29,0.007,0,0,0,0,0
,,2019-2020,Fall,1,17,0.004,0,0,0,0,0
,,2020-2021,Fall,1,18,0.005,0,0,0,0,0
,,2021-2022,Fall,1,9,0.002,0,0,0,0,0
,,2022-2023,Fall,1,8,0.002,0,0,0,0,0
,,2023-2024,Fall,1,11,0.003,0.003,0.001,0.006,0.003,0.002
,3302,2012-2013,Spring,1,32,0.007,0,0,0,0,0
,,2013-2014,Spring,1,17,0.004,0,0,0,0,0
,,2014-2015,Spring,1,27,0.007,0,0,0,0,0
,,2015-2016,Spring,1,14,0.004,0,0,0,0,0
,,2016-2017,Spring,1,18,0.005,0,0,0,0,0
,,2017-2018,Spring,1,21,0.006,0,0,0,0,0
,,2018-2019,Spring,1,24,0.007,0,0,0,0,0
,,2019-2020,Spring,1,15,0.004,0,0,0,0,0
,,2020-2021,Spring,1,6,0.002,0,0,0,0,0
,,2021-2022,Spring,1,7,0.002,0,0,0,0,0
,,2022-2023,Spring,1,5,0.002,0,0,0,0,0
,,2023-2024,Spring,1,8,0.003,0.002,0.002,0.005,0.002,0.002
,3325,2012-2013,Fall,1,7,0.001,0,0,0,0,0
,,2013-2014,Fall,2,27,0.006,0,0,0,0,0
,,2014-2015,Fall,1,8,0.002,0,0,0,0,0
,,2015-2016,Fall,2,9,0.002,0,0,0,0,0
,,2016-2017,Fall,1,19,0.005,0,0,0,0,0
,,2017-2018,Fall,1,8,0.002,0,0,0,0,0
,,2018-2019,Fall,1,17,0.004,0,0,0,0,0
,,2019-2020,Fall,1,31,0.008,0.004,0.003,0.003,0.004,0.004
,3330,2012-2013,Fall,1,15,0.003,0,0,0,0,0
,,2013-2014,Fall,1,19,0.004,0,0,0,0,0
,,2014-2015,Fall,1,20,0.005,0,0,0,0,0
,,2015-2016,Fall,1,18,0.004,0,0,0,0,0
,,2016-2017,Fall,1,10,0.002,0,0,0,0,0
,,2017-2018,Fall,1,17,0.004,0,0,0,0,0
,,2018-2019,Fall,1,14,0.004,0.004,0.004,0.004,0.004,0.004
,3331,2012-2013,Spring,1,12,0.003,0,0,0,0,0
,,2013-2014,Spring,1,17,0.004,0,0,0,0,0
,,2014-2015,Spring,1,20,0.005,0,0,0,0,0
,,2015-2016,Spring,1,17,0.004,0,0,0,0,0
,,2016-2017,Spring,1,9,0.002,0,0,0,0,0
,,2017-2018,Spring,1,14,0.004,0,0,0,0,0
,,2018-2019,Spring,1,15,0.004,0.004,0.003,0.004,0.004,0.004
,3340,2020-2021,Fall,1,18,0.005,0,0,0,0,0
,,2021-2022,Fall,1,11,0.003,0,0,0,0,0
,,2022-2023,Fall,1,8,0.002,-1,-1,-1,-1,-1
,,2023-2024,Spring,1,23,0.008,-1,-1,-1,-1,-1
,3350,2012-2013,Spring,1,37,0.009,0,0,0,0,0
,,2013-2014,Spring,1,26,0.006,0,0,0,0,0
,,2014-2015,Spring,1,27,0.007,0,0,0,0,0
,,2015-2016,Spring,1,15,0.004,0,0,0,0,0
,,2016-2017,Spring,1,23,0.006,0,0,0,0,0
,,2017-2018,Spring,1,19,0.005,0,0,0,0,0
,,2019-2020,Spring,1,33,0.01,0,0,0,0,0
,,2020-2021,Spring,1,6,0.002,0,0,0,0,0
,,2021-2022,Spring,1,8,0.002,0,0,0,0,0
,,2022-2023,Spring,1,5,0.002,0.003,-0.003,0.006,0.005,0.002
,,2023-2024,Fall,1,11,0.003,-1,-1,-1,-1,-1
